ANO;LOCALIDAD_RESIDENCIA;SEXO;CASOS;MUERTES;
2020;01 - Usaquén;F;60;;
2020;01 - Usaquén;M;78;;
2020;01 - Usaquén;F;215;;
2020;01 - Usaquén;M;274;;
2020;01 - Usaquén;F;330;;
2020;01 - Usaquén;M;384;1;
2020;01 - Usaquén;F;414;;
2020;01 - Usaquén;M;469;;
2020;01 - Usaquén;F;774;;
2020;01 - Usaquén;M;706;;
2020;01 - Usaquén;F;1919;;
2020;01 - Usaquén;M;1620;;
2020;01 - Usaquén;F;2607;1;
2020;01 - Usaquén;M;2110;1;
2020;01 - Usaquén;F;2243;1;
2020;01 - Usaquén;M;2123;4;
2020;01 - Usaquén;F;2067;1;
2020;01 - Usaquén;M;1948;10;
2020;01 - Usaquén;F;1761;1;
2020;01 - Usaquén;M;1566;8;
2020;01 - Usaquén;F;1534;2;
2020;01 - Usaquén;M;1223;9;
2020;01 - Usaquén;F;1386;2;
2020;01 - Usaquén;M;1186;19;
2020;01 - Usaquén;F;1370;9;
2020;01 - Usaquén;M;1111;25;
2020;01 - Usaquén;F;1021;9;
2020;01 - Usaquén;M;904;33;
2020;01 - Usaquén;F;754;14;
2020;01 - Usaquén;M;669;33;
2020;01 - Usaquén;F;509;23;
2020;01 - Usaquén;M;469;51;
2020;01 - Usaquén;F;364;40;
2020;01 - Usaquén;M;307;60;
2020;01 - Usaquén;F;328;36;
2020;01 - Usaquén;M;203;38;
2020;01 - Usaquén;F;196;33;
2020;01 - Usaquén;M;124;43;
2020;01 - Usaquén;F;102;16;
2020;01 - Usaquén;M;43;18;
2020;01 - Usaquén;F;31;15;
2020;01 - Usaquén;M;9;7;
2020;01 - Usaquén;F;5;2;
2020;01 - Usaquén;M;3;1;
2020;02 - Chapinero;F;16;;
2020;02 - Chapinero;M;16;;
2020;02 - Chapinero;F;71;1;
2020;02 - Chapinero;M;81;;
2020;02 - Chapinero;F;108;;
2020;02 - Chapinero;M;98;;
2020;02 - Chapinero;F;114;;
2020;02 - Chapinero;M;114;;
2020;02 - Chapinero;F;231;;
2020;02 - Chapinero;M;251;1;
2020;02 - Chapinero;F;648;;
2020;02 - Chapinero;M;611;;
2020;02 - Chapinero;F;975;1;
2020;02 - Chapinero;M;906;;
2020;02 - Chapinero;F;947;1;
2020;02 - Chapinero;M;935;;
2020;02 - Chapinero;F;741;1;
2020;02 - Chapinero;M;832;3;
2020;02 - Chapinero;F;617;;
2020;02 - Chapinero;M;639;2;
2020;02 - Chapinero;F;439;1;
2020;02 - Chapinero;M;500;3;
2020;02 - Chapinero;F;465;4;
2020;02 - Chapinero;M;417;4;
2020;02 - Chapinero;F;409;3;
2020;02 - Chapinero;M;434;12;
2020;02 - Chapinero;F;340;6;
2020;02 - Chapinero;M;337;23;
2020;02 - Chapinero;F;237;8;
2020;02 - Chapinero;M;236;17;
2020;02 - Chapinero;F;153;14;
2020;02 - Chapinero;M;160;16;
2020;02 - Chapinero;F;92;8;
2020;02 - Chapinero;M;88;14;
2020;02 - Chapinero;F;86;13;
2020;02 - Chapinero;M;61;18;
2020;02 - Chapinero;F;72;17;
2020;02 - Chapinero;M;35;13;
2020;02 - Chapinero;F;37;6;
2020;02 - Chapinero;M;23;16;
2020;02 - Chapinero;F;16;4;
2020;02 - Chapinero;M;6;4;
2020;02 - Chapinero;F;2;1;
2020;02 - Chapinero;M;2;1;
2020;03 - Santa Fe;F;18;;
2020;03 - Santa Fe;M;15;;
2020;03 - Santa Fe;F;59;;
2020;03 - Santa Fe;M;58;;
2020;03 - Santa Fe;F;52;;
2020;03 - Santa Fe;M;75;;
2020;03 - Santa Fe;F;112;;
2020;03 - Santa Fe;M;119;;
2020;03 - Santa Fe;F;215;;
2020;03 - Santa Fe;M;174;;
2020;03 - Santa Fe;F;452;1;
2020;03 - Santa Fe;M;424;1;
2020;03 - Santa Fe;F;578;;
2020;03 - Santa Fe;M;555;1;
2020;03 - Santa Fe;F;573;1;
2020;03 - Santa Fe;M;599;1;
2020;03 - Santa Fe;F;507;;
2020;03 - Santa Fe;M;542;6;
2020;03 - Santa Fe;F;405;1;
2020;03 - Santa Fe;M;464;4;
2020;03 - Santa Fe;F;397;3;
2020;03 - Santa Fe;M;354;8;
2020;03 - Santa Fe;F;356;1;
2020;03 - Santa Fe;M;336;10;
