fecha;casos;derivada
ERROR;0;0.00
2/28/2020;1;0.00
2/29/2020;0;-0.50
3/1/2020;0;0.00
3/2/2020;0;0.00
3/3/2020;0;1.50
3/4/2020;3;1.50
3/5/2020;3;1.50
3/6/2020;6;2.00
3/7/2020;7;-0.50
3/8/2020;5;-1.00
3/9/2020;5;3.50
3/10/2020;12;5.50
3/11/2020;16;5.50
3/12/2020;23;4.50
3/13/2020;25;5.50
3/14/2020;34;11.50
3/15/2020;48;15.50
3/16/2020;65;6.50
3/17/2020;61;-5.50
3/18/2020;54;8.50
3/19/2020;78;13.00
3/20/2020;80;1.00
3/21/2020;80;-7.50
3/22/2020;65;-7.50
3/23/2020;65;-6.50
3/24/2020;52;8.50
3/25/2020;82;9.50
3/26/2020;71;-1.50
3/27/2020;79;-3.00
3/28/2020;65;-10.50
3/29/2020;58;-1.00
3/30/2020;63;-4.50
3/31/2020;49;19.50
4/1/2020;102;2.00
4/2/2020;53;-22.50
4/3/2020;57;17.50
4/4/2020;88;7.00
4/5/2020;71;1.00
4/6/2020;90;-6.00
4/7/2020;59;-5.50
4/8/2020;79;0.50
4/9/2020;60;10.00
4/10/2020;99;8.00
4/11/2020;76;-13.00
4/12/2020;73;-10.00
4/13/2020;56;-4.00
4/14/2020;65;17.00
4/15/2020;90;28.00
4/16/2020;121;-9.50
4/17/2020;71;-3.50
4/18/2020;114;7.50
4/19/2020;86;1.00
4/20/2020;116;0.50
4/21/2020;87;-19.50
4/22/2020;77;7.50
4/23/2020;102;9.00
4/24/2020;95;-1.00
4/25/2020;100;14.50
4/26/2020;124;-4.50
4/27/2020;91;7.50
4/28/2020;139;16.00
4/29/2020;123;-11.50
4/30/2020;116;42.00
5/1/2020;207;22.00
5/2/2020;160;-29.50
5/3/2020;148;-3.00
5/4/2020;154;26.00
5/5/2020;200;43.00
5/6/2020;240;-18.00
5/7/2020;164;-6.00
5/8/2020;228;29.00
5/9/2020;222;59.00
5/10/2020;346;38.00
5/11/2020;298;-32.00
5/12/2020;282;2.00
5/13/2020;302;-1.00
5/14/2020;280;1.50
5/15/2020;305;9.00
5/16/2020;298;-5.50
5/17/2020;294;55.50
5/18/2020;409;58.00
5/19/2020;410;37.50
5/20/2020;484;-33.00
5/21/2020;344;-34.00
5/22/2020;416;34.00
5/23/2020;412;-22.50
5/24/2020;371;23.50
5/25/2020;459;-2.00
5/26/2020;367;-8.50
5/27/2020;442;32.00
5/28/2020;431;1.00
5/29/2020;444;-5.50
5/30/2020;420;-8.00
5/31/2020;428;158.00
6/1/2020;736;85.50
6/2/2020;599;-118.50
6/3/2020;499;-51.00
6/4/2020;497;73.00
6/5/2020;645;90.00
6/6/2020;677;-61.00
6/7/2020;523;17.00
6/8/2020;711;58.50
6/9/2020;640;143.00
6/10/2020;997;101.00
6/11/2020;842;-50.50
6/12/2020;896;-55.50
6/13/2020;731;-103.50
6/14/2020;689;57.50
6/15/2020;846;178.00
6/16/2020;1045;184.50
6/17/2020;1215;79.00
6/18/2020;1203;11.50
6/19/2020;1238;244.50
6/20/2020;1692;-25.50
6/21/2020;1187;-236.50
6/22/2020;1219;164.50
6/23/2020;1516;196.00
6/24/2020;1611;149.00
6/25/2020;1814;230.00
6/26/2020;2071;206.50
6/27/2020;2227;-111.00
6/28/2020;1849;-309.00
6/29/2020;1609;133.50
6/30/2020;2116;639.50
7/1/2020;2888;154.00
7/2/2020;2424;-108.00
7/3/2020;2672;54.50
7/4/2020;2533;-230.50
7/5/2020;2211;40.00
